"gene"	"count"
"491"	"ENSG00000047578"	1
"492"	"ENSG00000108669"	0
"493"	"ENSG00000119912"	1
"494"	"ENSG00000172053"	0
"495"	"ENSG00000163132"	0
"496"	"ENSG00000178458"	0
"497"	"ENSG00000108759"	0
"498"	"ENSG00000070371"	0
"499"	"ENSG00000107014"	0
"500"	"ENSG00000167393"	0
"501"	"ENSG00000038945"	0
"502"	"ENSG00000177239"	0
"503"	"ENSG00000053372"	0
"504"	"ENSG00000077063"	0
"505"	"ENSG00000183813"	0
"506"	"ENSG00000134443"	0
"507"	"ENSG00000206328"	0
"508"	"ENSG00000108691"	0
"509"	"ENSG00000170619"	0
"510"	"ENSG00000211829"	0
"511"	"ENSG00000121057"	2
"512"	"ENSG00000131368"	0
"513"	"ENSG00000126259"	0
"514"	"ENSG00000013573"	0
"515"	"ENSG00000158578"	0
"516"	"ENSG00000120963"	0
"517"	"ENSG00000124226"	0
"518"	"ENSG00000182400"	0
"519"	"ENSG00000175928"	0
"520"	"ENSG00000198767"	0
"521"	"ENSG00000139197"	0
"522"	"ENSG00000206247"	0
"523"	"ENSG00000183814"	0
"524"	"ENSG00000005238"	1
"525"	"ENSG00000134107"	0
"526"	"ENSG00000136824"	0
"527"	"ENSG00000215691"	0
"528"	"ENSG00000100122"	0
"529"	"ENSG00000175544"	0
"530"	"ENSG00000160746"	0
"531"	"ENSG00000171791"	0
"532"	"ENSG00000121691"	0
"533"	"ENSG00000170540"	0
"534"	"ENSG00000184983"	0
"535"	"ENSG00000146918"	0
"536"	"ENSG00000196526"	0
"537"	"ENSG00000130522"	1
"538"	"ENSG00000111605"	1
"539"	"ENSG00000169851"	0
"540"	"ENSG00000037280"	2
"541"	"ENSG00000177688"	0
"542"	"ENSG00000173918"	0
"543"	"ENSG00000179361"	0
"544"	"ENSG00000044524"	1
"545"	"ENSG00000066279"	0
"546"	"ENSG00000197965"	0
"547"	"ENSG00000189077"	0
"548"	"ENSG00000062725"	0
"549"	"ENSG00000117697"	1
"550"	"ENSG00000072163"	0
"551"	"ENSG00000163064"	0
"552"	"ENSG00000189221"	0
"553"	"ENSG00000143702"	0
"554"	"ENSG00000129988"	0
"555"	"ENSG00000198728"	0
"556"	"ENSG00000214113"	0
"557"	"ENSG00000185897"	0
"558"	"ENSG00000196236"	0
"559"	"ENSG00000164535"	0
"560"	"ENSG00000115616"	0
"561"	"ENSG00000160209"	0
"562"	"ENSG00000205670"	0
"563"	"ENSG00000142405"	0
"564"	"ENSG00000173153"	0
"565"	"ENSG00000185686"	0
"566"	"ENSG00000168958"	0
"567"	"ENSG00000104723"	0
